taxonID,datasetID,family,genus,specificEpithet,infraspecificEpithet,taxonRank
8145115,f382f0ce-323a-4091-bb9f-add557f3a9a2,Pinaceae,Pinus,laricio,humilior,variety
7685577,f382f0ce-323a-4091-bb9f-add557f3a9a2,Pinaceae,Pinus,montana,humilior,variety
8332638,f382f0ce-323a-4091-bb9f-add557f3a9a2,Pinaceae,Pinus,montana,hausmannii,variety
4173659,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Rhododendron,xiushanense,NA,species
7931141,7ddf754f-d193-4cc9-b351-99906754a03b,Magnoliaceae,Magnolia,velutina,NA,species
5939083,7ddf754f-d193-4cc9-b351-99906754a03b,Magnoliaceae,Magnolia,pilifera,NA,species
5939080,7ddf754f-d193-4cc9-b351-99906754a03b,Magnoliaceae,Magnolia,pubinervia,NA,species
3153117,7ddf754f-d193-4cc9-b351-99906754a03b,Magnoliaceae,Magnolia,velutina,NA,species
5939082,7ddf754f-d193-4cc9-b351-99906754a03b,Magnoliaceae,Magnolia,champaca,pubinervia,variety
5939085,7ddf754f-d193-4cc9-b351-99906754a03b,Magnoliaceae,Magnolia,sericea,NA,species
5939090,7ddf754f-d193-4cc9-b351-99906754a03b,Magnoliaceae,Magnolia,suaveolens,NA,species
5939084,7ddf754f-d193-4cc9-b351-99906754a03b,Magnoliaceae,Magnolia,blumei,NA,species
5939087,7ddf754f-d193-4cc9-b351-99906754a03b,Magnoliaceae,Magnolia,euonymoides,NA,species
5939088,7ddf754f-d193-4cc9-b351-99906754a03b,Magnoliaceae,Magnolia,rheedei,NA,species
3153105,7ddf754f-d193-4cc9-b351-99906754a03b,Magnoliaceae,Magnolia,membranacea,NA,species
5939091,7ddf754f-d193-4cc9-b351-99906754a03b,Magnoliaceae,Magnolia,rufinervis,NA,species
5939089,7ddf754f-d193-4cc9-b351-99906754a03b,Magnoliaceae,Magnolia,champaca,blumei,variety
3153111,7ddf754f-d193-4cc9-b351-99906754a03b,Magnoliaceae,Magnolia,michelia,NA,species
5939086,7ddf754f-d193-4cc9-b351-99906754a03b,Magnoliaceae,Magnolia,aurantiaca,NA,species
3153103,7ddf754f-d193-4cc9-b351-99906754a03b,Magnoliaceae,Magnolia,suaveolens,NA,species
3153109,7ddf754f-d193-4cc9-b351-99906754a03b,Magnoliaceae,Magnolia,euonymoides,NA,species
8235806,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Erica,dumosa,setifera,variety
7821153,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Erica,setiferum,NA,species
4170276,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Erica,sympiezoides,NA,species
8661517,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Ericaceae,Erica,zeyheri,NA,species
4170339,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Erica,globiceps,NA,species
4170255,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Erica,zeyheri,NA,species
7445046,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Erica,dumosa,intermedia,variety
7919926,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Erica,floribundum,NA,species
7383281,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Erica,floribunda,NA,species
8614750,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Ericaceae,Erica,macrostoma,NA,species
12385039,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Erica,floribunda,NA,species
5685015,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Erica,galiiflora,NA,species
5684200,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Erica,macrostoma,NA,species
7448331,046bbc50-cae2-47ff-aa43-729fbf53f7c5,Pinaceae,Pinus,contorta,latifolia,subspecies
10457028,de8934f4-a136-481c-a87a-b0b202b80a31,Pinaceae,Pinus,contorta,latifolia,variety
7230686,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,contorta,contorta,variety
5285757,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,bourcieri,NA,species
5285761,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,tenuis,NA,species
5927505,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,contorta,yukonensis,variety
5285758,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,boursieri,NA,species
5686889,f382f0ce-323a-4091-bb9f-add557f3a9a2,Pinaceae,Pinus,divaricata,musci,variety
5285763,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,contorta,hendersonii,variety
5285760,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,tamrac,NA,species
