UID,taxon,genus,species,type,year,latitude,longitude,locality,collector
ArbWespelaar~14164~W~Magnolia fraseri,Magnolia fraseri,Magnolia,fraseri,Exsitu,2019,34.868083,-83.426229,(Johnston;Rabun;GA;US),NA
ArbWespelaar~93251~W~Magnolia fraseri,Magnolia fraseri,Magnolia,fraseri,Exsitu,2019,35.357612,-83.930595,(Joyce Kilmer Mem.For.;US),NA
ArnoldArb~999-79~W~Magnolia fraseri,Magnolia fraseri,Magnolia,fraseri,Exsitu,2019,35.434649,-82.237985,Hickory Nut Gorge; Bat Cave,Weaver; R. E. and Nickerson; J.
ArnoldArb~964-79~W~Magnolia fraseri,Magnolia fraseri,Magnolia,fraseri,Exsitu,2019,35.672215,-82.067684,Crabtree Meadows; on the Blue Ridge Parkway,Weaver; R. E. and Nickerson; J.
ArnoldArb~23-88~W~Magnolia fraseri,Magnolia fraseri,Magnolia,fraseri,Exsitu,2019,36.65997778,-81.54455833,Mt. Rodgers; Jefferson National Forest. W/Betula alleghaniensis; Magnolia acuminata; Rhod. maximum,Nicholson; R.
AtlantaBG~20164090~W~Magnolia fraseri,Magnolia fraseri,Magnolia,fraseri,Exsitu,2020,34.868083,-83.426229,NA,Ethan Guthrie
DawesArb~D2014-0648.001~W~Magnolia fraseri,Magnolia fraseri,Magnolia,fraseri,Exsitu,2019,34.775215,-83.623161,Chattahoochee National Forest; along Rt. 356; ca. 2.75 km w. of intersection w/ Rt. 197,NA
DawesArb~D2014-0648.002~W~Magnolia fraseri,Magnolia fraseri,Magnolia,fraseri,Exsitu,2019,34.775215,-83.623161,Chattahoochee National Forest; along Rt. 356; ca. 2.75 km w. of intersection w/ Rt. 197,NA
DawesArb~D2014-0648.003~W~Magnolia fraseri,Magnolia fraseri,Magnolia,fraseri,Exsitu,2019,34.775215,-83.623161,Chattahoochee National Forest; along Rt. 356; ca. 2.75 km w. of intersection w/ Rt. 197,NA
DawesArb~D2014-0704.001~W~Magnolia fraseri,Magnolia fraseri,Magnolia,fraseri,Exsitu,2019,34.868083,-83.426229,Lake Rabun area,Guthrie; Ethan (Atlanta Bot. Gard.)
DawesArb~D2015-0616.001~W~Magnolia fraseri,Magnolia fraseri,Magnolia,fraseri,Exsitu,2019,35.140447,-83.419271,NA,NA
DawesArb~D2010-0338.001~W~Magnolia fraseri,Magnolia fraseri,Magnolia,fraseri,Exsitu,2019,37.066333,-81.305806,Jefferson National Forest; along St. Rt. 623 ca. 4.7km (2.9 mi.) sse of the town of Burkes Garden,Larson; R. A. (Dawes Arboretum)
DawesArb~D2013-0497.002~W~Magnolia fraseri,Magnolia fraseri,Magnolia,fraseri,Exsitu,2019,38.930367,-79.674333,Monongahela National Forest; ca. 9.25 mi. e.n.e. of City of Elkins. Along Rt. 91; ca .7 mi. from intersection with Rt. 303.,Harmon; P. J. (West Va. DNR)
DawesArb~D2013-0497.003~W~Magnolia fraseri,Magnolia fraseri,Magnolia,fraseri,Exsitu,2019,38.930367,-79.674333,Monongahela National Forest; ca. 9.25 mi. e.n.e. of City of Elkins. Along Rt. 91; ca .7 mi. from intersection with Rt. 303.,Harmon; P. J. (West Va. DNR)
DawesArb~D2013-0497.004~W~Magnolia fraseri,Magnolia fraseri,Magnolia,fraseri,Exsitu,2019,38.930367,-79.674333,Monongahela National Forest; ca. 9.25 mi. e.n.e. of City of Elkins. Along Rt. 91; ca .7 mi. from intersection with Rt. 303.,Harmon; P. J. (West Va. DNR)
DawesArb~D1998-1019.002~W~Magnolia fraseri,Magnolia fraseri,Magnolia,fraseri,Exsitu,2019,39.102652,-79.587073,NA,Brandenburg; D. M. (Dawes Arboretum); Thieret; J. W. (Univ. of KY)
FinnishMuseumNH~2017-0534~W~Magnolia fraseri,Magnolia fraseri,Magnolia,fraseri,Exsitu,2019,38.26666667,-80.23333333,United States West Virginia; Pocahontas Co.; Black Mountain.,NA
GothenburgBG~2013-0979~U~Magnolia fraseri,Magnolia fraseri,Magnolia,fraseri,Exsitu,2019,35.140447,-83.419271,Macon Co.; Great Smoky Mountain National Park; Forest Service Rd 711,Jack Johnston
GothenburgBG~2013-0980~U~Magnolia fraseri,Magnolia fraseri,Magnolia,fraseri,Exsitu,2019,35.140447,-83.419271,Macon Co.; Great Smoky Mountain National Park; Forest; W of Franklin along Jones Creek,Jack Johnston
GothenburgBG~1985-0104~U~Magnolia fraseri,Magnolia fraseri,Magnolia,fraseri,Exsitu,2019,35.764486,-82.265428,Beach Gaps; Mt. Mitchell,NA
HoldenArb~2017-8~W~Magnolia fraseri,Magnolia fraseri,Magnolia,fraseri,Exsitu,2018,35.208947,-83.073149,Big Ridge; east-facing slopes and coves of Big Knob,Lance; R.
HoldenArb~00-522~W~Magnolia fraseri,Magnolia fraseri,Magnolia,fraseri,Exsitu,2018,35.32611111,-82.82611111,Blue Ridge Parkway pullover; S of mile marker 416,Aiello; A.; Ault; J.; Kim; K.; Tubesing; C.
HoldenArb~00-515~W~Magnolia fraseri,Magnolia fraseri,Magnolia,fraseri,Exsitu,2018,35.34388889,-82.90388889,Pisgah National Forest; along State Highway 215,Aiello; A.; Ault; J.; Kim; K.; Tubesing; C.
HoldenArb~2001-307~Z~Magnolia fraseri,Magnolia fraseri,Magnolia,fraseri,Exsitu,2018,36.435412,-81.10843,Devil's Garden Overlook on the north side of the Blue Ridge Parkway; due south of Sparta,Peterson; N.
HoldenArb~96-462~W~Magnolia fraseri,Magnolia fraseri,Magnolia,fraseri,Exsitu,2018,38.83333333,-79.63333333,Middle Mountain,Peterson; N.
