"UID","taxon","genus","species","type","year","latitude","longitude","locality","collector","issues"
"442433989","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2024,39.492715,-79.155785,"Maryland, US","Josh Emm","cdc,cdround"
"442434271","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2024,39.490365,-79.042175,"Maryland, US","Josh Emm","cdc,cdround"
"442434545","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2024,39.54974,-79.05133,"Maryland, US","Josh Emm","cdc,cdround"
"443594642","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2024,40.124052,-77.680706,"Franklin County, PA, USA","Nate Hartley","cdc,cdround"
"449878017","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2024,39.540655,-79.433414,"United States","Josh Emm","cdc,cdround"
"450432187","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2024,40.982093,-81.306114,"Hartville, OH 44632, USA","Anna","cdc,cdround"
"450985219","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2024,39.457652,-82.150834,"Wayne National Forest, Millfield, OH, US","Sam Gutekanst","cdc,cdround"
"451256409","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2024,37.791717,-79.172862,"Virginia, US","Josh Emm","cdc,cdround"
"451500048","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2024,37.110797,-84.686653,"Pulaski County, KY, USA","Ethan Wells","cdc,cdround"
"451694977","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2024,39.698715,-78.942717,"Frostburg, MD, US","Brady O'Brien","cdc,cdround"
"452568609","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2024,39.624597,-79.290405,"Garrett County, MD, USA","John Carr","cdc,cdround"
"454272898","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2024,37.239534,-89.327654,"Illinois, US","Zach Skubiszewski","cdc,cdround"
NA,"Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2024,48.056957,7.809213,NA,"-1011141008","cdc,cdround,gass84,muluriiv"
"457707119","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2024,36.146015,-81.798581,"Pisgah National Forest, Seven Devils, NC, US","amelia_gallina","cdc,cdround"
"458052633","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2024,39.633417,-79.064932,"United States","Josh Emm","cdc,cdround"
"460471397","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2024,41.219795,-81.699821,"Medina County, OH, USA","Jessica Williams","cdc,cdround"
"325226637","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,41.613299,-80.107332,"Pennsylvania, US","lionsmane91","cdc,cdround"
"328560128","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,41.343585,-79.377209,"Clarion County, US-PA, US","Eric Schill","cdc,cdround"
"329703900","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,39.698347,-78.941836,"Midland, MD 21532, USA","Alina Martin","cdc,cdround"
"330799728","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,39.543736,-79.081156,"Swanton, MD 21561, USA","Alina Martin","cdc,cdround"
"330799756","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,39.543722,-79.0811,"Swanton, MD 21561, USA","Alina Martin","cdc,cdround"
"332442626","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,41.013685,-81.811425,"Ohio, US","nr_travis","cdc,cdround"
"332524272","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,40.696525,-76.910378,"Pennsylvania, US","Nate Hartley","cdc,cdround"
"332674539","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,42.395508,-76.552124,"Robert H. Treman State Park, Ithaca, NY, US","efd46","cdc,cdround"
"332731591","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,37.221791,-89.324286,"Illinois, US","Matt Tomlinson","cdc,cdround"
"332861598","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,35.898983,-79.030955,"The University of North Carolina at Chapel Hill, Chapel Hill, NC, US","Scott Ward","cdc,cdround"
"333260081","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,39.607342,-79.826513,"Masontown, WV, US","Kyle Aldinger","cdc,cdround"
"335235597","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,42.649911,-80.467478,"Port Rowan, ON N0E 1M0, Canada","brandannorman","cdc,cdround"
"335960493","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,37.928403,-78.936456,"Nelson County, VA, USA","Betsy Washington","cdc,cdround"
"336662676","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,42.207187,-79.190997,"Chautauqua County, NY, USA","Erik Danielsen","cdc,cdround"
"336744811","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,34.954425,-83.829063,"Miller Trek, Young Harris, GA, US","ross_ny","cdc,cdround"
"338228762","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,31.80545,-91.75801,"Catahoula Parish, LA, USA - Sicily Island Hills (JC ""Sonny"" Gilbert WMA)","jonathanclark","cdc,cdround"
"337830256","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,42.114966,-79.274055,"Chautauqua, New York, United States","Erik Danielsen","cdc,cdround"
"341494013","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,35.09943,-85.239755,"Chattanooga State Community College, Chattanooga, TN, US","Skye Webb","cdc,cdround"
"341570995","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,41.336219,-81.109173,"Ohio, US","Tomás Curtis","cdc,cdround"
"342325107","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,41.504259,-79.890557,"Jackson Township, PA, USA","Leora Fitz","cdc,cdround"
"343170606","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,39.326051,-79.254431,"Maryland, US","Josh Emm","cdc,cdround"
"343645357","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,39.731317,-79.482914,"United States","Josh Emm","cdc,cdround"
"343931558","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,42.742947,-80.426925,"Norfolk County, ON, CA","Jacqueline Weber","cdc,cdround"
"343931967","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,42.742858,-80.427863,"Norfolk County, ON, CA","Jacqueline Weber","cdc,cdround"
"344107156","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,37.4841,-89.351088,"Shawnee National Forest, Jonesboro, IL, US","cmidden","cdc,cdround"
"344412351","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,37.495179,-89.334574,"Illinois, US","Zach Skubiszewski","cdc,cdround"
"345578731","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,37.787814,-81.140654,"Beckley, WV 25801, USA","Steven Wilson","cdc,cdround"
"391811796","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,33.94418,-82.584083,"Pistol Creek Ext, Tignall, GA, US","eawyche","cdc,cdround"
"346102601","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,42.334763,-76.661963,"Newfield, NY, US","myrashulman","cdc,cdround"
"346181755","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,37.859495,-81.095302,"Lawton, WV 25864, USA","Steven Wilson","cdc,cdround"
"349645601","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,34.798363,-86.296869,"Alabama, US","Helen A. Czech","cdc,cdround"
"350921304","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,36.669149,-84.542271,"Stearns, KY 42647, USA","Tyson Gregory","cdc,cdround"
"351017332","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,40.446686,-78.901405,"Vintondale","smartinbiologist","cdc,cdround"
"351195686","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,35.479013,-83.569295,"North Carolina, US","Erik Danielsen","cdc,cdround"
"351212022","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,38.34141,-81.725068,"Little Creek Park Rd, South Charleston, WV 25309, USA","yakfur","cdc,cdround"
"351399769","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,35.121915,-85.609579,"Sequatchie, TN, US","tnnaturelover","cdc,cdround"
"351556670","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,31.006797,-89.716994,"Marion County, MS, USA","Mac H. Alford","cdc,cdround"
"352052018","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,33.320968,-87.538293,"The Willows, Northport, AL, US","EH","cdc,cdround"
"352054021","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,33.320681,-87.538214,"House Bend Rd, Northport, AL, US","EH","cdc,cdround"
"352832172","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,35.489395,-82.25806,"North Carolina, US","Billy Gottenstrater","cdc,cdround"
"353000293","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,37.487579,-89.518251,"Illinois, US","Matt Tomlinson","cdc,cdround"
"365984828","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,33.453788,-90.061719,"Carroll County, US-MS, US","charmo57","cdc,cdround"
"353575668","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,37.327297,-89.351386,"Illinois, US","abelkinser","cdc,cdround"
